,Overall,Bib,Name,Time
0,1,31,Nick French,01:10:03
1,2,33,Ian Bordelon,01:12:15
2,3,32,Chris Demetra,01:12:52
3,4,1025,Grayson Reid,01:15:10
4,5,34,Jason Vincze,01:17:01
5,6,16665,Zane Kahkonen Keppler,01:17:10
6,7,1055,Vern Kerchberger,01:17:35
7,8,1068,Eric Waterman,01:18:52
8,9,1048,Andrew Dibb,01:19:12
9,10,1029,Michael Berger,01:19:24
10,11,1028,Ian Macintyre,01:19:31
11,12,1073,Brad Averitt,01:19:33
12,13,1066,Mason Wingard,01:19:58
13,14,36,Pomeroy Robin,01:21:22
14,15,1031,Seth Carley,01:21:41
15,16,1036,Madison Hibshman,01:22:01
16,17,1069,Ben Thacker,01:22:02
17,18,30047,Scott Fanning,01:22:31
18,19,1172,Loic Fort,01:22:32
19,20,1035,Joseph Coombe,01:22:40
20,21,1177,Kyle Gavulic,01:23:41
21,22,1040,Richard Andrews,01:23:45
22,23,30064,Jeremiah Tatum,01:23:52
23,24,1088,Brandon Peterson,01:24:09
24,25,1091,Stephen Wright,01:24:19
